VDOT Easy-KM Easy-Mile Long-KM Long-Mile Marathon-KM Marathon-Mile Threshold-KM Threshold-Mile Recovery-KM Recovery-Mile Interval-KM Interval-Mile Repetition-KM Repetition-Mile 1,500-KM 1,500-Mile Mile-KM Mile-Mile 3,000-KM 3,000-Mile 2Mile-KM 2Mile-Mile 5,000-KM 5,000-Mile 10K-KM 10K-Mile 15K-KM 15K-Mile 10Mile-KM 10Mile-Mile HalfMarathon-KM HalfMarathon-Mile Marathon-KM Marathon-Mile
61 4:11 6:45 4:45 7:39 3:49 6:09 3:37 5:50 4:54 7:52 3:20 5:21 3:05 4:57 3:00 4:50 3:02 4:53 3:14 5:13 3:13 5:11 3:21 5:24 3:29 5:36 3:34 5:44 3:35 5:46 3:39 5:52 3:49 6:08
62 4:08 6:39 4:41 7:33 3:46 6:04 3:34 5:45 4:50 7:47 3:17 5:17 3:01 4:52 2:58 4:46 2:59 4:49 3:12 5:09 3:11 5:07 3:18 5:19 3:26 5:32 3:31 5:39 3:32 5:41 3:35 5:47 3:45 6:03
63 4:05 6:34 4:38 7:27 3:43 5:59 3:32 5:41 4:48 7:42 3:15 5:13 3:00 4:49 2:56 4:43 2:57 4:45 3:09 5:05 3:08 5:03 3:16 5:15 3:23 5:27 3:28 5:35 3:29 5:37 3:33 5:42 3:42 5:58
64 4:02 6:29 4:34 7:21 3:40 5:54 3:29 5:36 4:45 7:38 3:12 5:09 2:56 4:44 2:53 4:38 2:54 4:41 3:06 5:00 3:05 4:58 3:13 5:11 3:20 5:23 3:25 5:30 3:26 5:32 3:30 5:38 3:39 5:53
65 3:59 6:24 4:31 7:16 3:37 5:49 3:26 5:32 4:42 7:33 3:10 5:05 2:55 4:41 2:50 4:34 2:52 4:37 3:04 4:56 3:03 4:54 3:10 5:07 3:18 5:18 3:22 5:26 3:23 5:28 3:27 5:33 3:36 5:49
66 3:56 6:19 4:28 7:10 3:34 5:45 3:24 5:28 4:39 7:29 3:06 5:00 2:51 4:36 2:48 4:31 2:49 4:33 3:01 4:52 3:00 4:50 3:08 5:03 3:15 5:14 3:20 5:21 3:21 5:23 3:24 5:29 3:34 5:44
67 3:53 6:15 4:24 7:05 3:31 5:40 3:21 5:24 4:36 7:24 3:04 4:57 2:50 4:33 2:46 4:28 2:47 4:30 2:59 4:48 2:58 4:47 3:05 4:59 3:13 5:10 3:17 5:17 3:18 5:19 3:21 5:24 3:31 5:40
68 3:50 6:10 4:21 7:00 3:29 5:36 3:19 5:20 4:34 7:20 3:02 4:53 2:46 4:28 2:44 4:23 2:45 4:26 2:57 4:45 2:56 4:43 3:03 4:55 3:10 5:06 3:14 5:13 3:16 5:15 3:19 5:20 3:28 5:35
69 3:47 6:06 4:18 6:55 3:26 5:32 3:16 5:16 4:31 7:16 3:00 4:50 2:45 4:25 2:42 4:20 2:43 4:23 2:54 4:41 2:53 4:39 3:01 4:51 3:08 5:03 3:12 5:09 3:13 5:11 3:16 5:16 3:26 5:31
70 3:44 6:01 4:15 6:50 3:24 5:28 3:14 5:13 4:29 7:12 2:57 4:46 2:41 4:20 2:40 4:17 2:40 4:19 2:52 4:38 2:51 4:35 2:59 4:48 3:06 4:59 3:10 5:05 3:11 5:07 3:14 5:12 3:23 5:27
71 3:42 5:57 4:12 6:46 3:21 5:24 3:12 5:09 4:27 7:09 2:55 4:43 2:40 4:17 2:38 4:14 2:39 4:16 2:50 4:34 2:49 4:32 2:56 4:44 3:03 4:55 3:07 5:02 3:09 5:04 3:12 5:09 3:21 5:23
72 3:40 5:53 4:00 6:41 3:19 5:20 3:10 5:05 4:24 7:05 2:53 4:40 2:36 4:12 2:36 4:11 2:37 4:13 2:48 4:31 2:47 4:29 2:54 4:40 3:01 4:52 3:05 4:58 3:06 5:00 3:09 5:05 3:18 5:19
73 3:37 5:49 4:07 6:37 3:16 5:16 3:08 5:02 4:22 7:01 2:52 4:37 2:35 4:09 2:34 4:08 2:35 4:10 2:46 4:27 2:45 4:26 2:52 4:37 2:59 4:48 3:03 4:55 3:04 4:57 3:07 5:01 3:16 5:15
74 3:34 5:45 4:04 6:32 3:14 5:12 3:06 4:59 4:20 6:58 2:50 4:34 2:33 4:06 2:32 4:05 2:33 4:07 2:44 4:24 2:43 4:22 2:50 4:34 2:57 4:45 3:01 4:51 3:02 4:53 3:05 4:58 3:14 5:12
75 3:32 5:41 4:01 6:28 3:12 5:09 3:04 4:56 4:18 6:54 2:48 4:31 2:31 4:04 2:30 4:02 2:31 4:04 2:42 4:21 2:41 4:19 2:48 4:31 2:55 4:42 2:59 4:48 3:00 4:50 3:03 4:54 3:11 5:08
76 3:30 5:38 3:58 6:24 3:10 5:05 3:02 4:52 4:16 6:51 2:46 4:28 2:30 4:01 2:29 4:00 2:30 4:02 2:40 4:18 2:39 4:16 2:46 4:28 2:53 4:39 2:57 4:45 2:58 4:47 3:01 4:51 3:09 5:05
77 3:28 5:34 3:56 6:20 3:08 5:02 3:00 4:49 4:13 6:48 2:44 4:25 2:30 4:01 2:27 3:57 2:27 3:58 2:38 4:15 2:37 4:13 2:44 4:25 2:51 4:36 2:55 4:42 2:56 4:44 2:58 4:48 3:07 5:01
78 3:25 5:30 3:53 6:16 3:06 4:58 2:58 4:46 4:12 6:44 2:43 4:23 2:28 3:59 2:25 3:54 2:26 3:56 2:36 4:12 2:36 4:11 2:43 4:22 2:49 4:33 2:53 4:38 2:54 4:40 2:57 4:44 3:05 4:58
79 3:23 5:27 3:51 6:12 3:03 4:55 2:56 4:43 4:10 6:41 2:41 4:20 2:27 3:57 2:24 3:52 2:25 3:53 2:35 4:10 2:34 4:08 2:41 4:19 2:47 4:30 2:51 4:35 2:52 4:37 2:55 4:41 3:03 4:55
80 3:21 5:24 3:49 6:08 3:01 4:52 2:54 4:41 4:08 6:38 2:39 4:17 2:25 3:53 2:22 3:49 2:23 3:51 2:33 4:07 2:32 4:05 2:39 4:16 2:46 4:27 2:49 4:33 2:50 4:35 2:53 4:38 3:01 4:52
81 3:19 5:20 3:46 6:04 3:00 4:49 2:53 4:38 4:06 6:35 2:38 4:15 2:23 3:51 2:21 3:47 2:22 3:48 2:31 4:04 2:30 4:02 2:37 4:14 2:44 4:24 2:47 4:30 2:49 4:32 2:51 4:35 2:59 4:48
82 3:17 5:17 3:44 6:01 2:58 4:46 2:51 4:35 4:04 6:32 2:36 4:12 2:22 3:49 2:19 3:44 2:20 3:46 2:30 4:01 2:29 4:00 2:36 4:11 2:42 4:21 2:46 4:27 2:47 4:29 2:49 4:32 2:57 4:45
83 3:15 5:14 3:42 5:57 2:56 4:43 2:49 4:32 4:02 6:30 2:35 4:10 2:21 3:47 2:18 3:42 2:19 3:44 2:28 3:59 2:27 3:57 2:34 4:08 2:41 4:19 2:44 4:24 2:45 4:26 2:47 4:30 2:55 4:42
84 3:13 5:11 3:40 5:54 2:54 4:40 2:48 4:30 4:01 6:27 2:34 4:08 2:20 3:45 2:17 3:40 2:17 3:41 2:27 3:56 2:26 3:55 2:33 4:06 2:39 4:16 2:42 4:22 2:44 4:24 2:46 4:27 2:54 4:40
85 3:11 5:08 3:38 5:50 2:52 4:37 2:46 4:27 3:59 6:24 2:32 4:05 2:18 3:43 2:15 3:38 2:16 3:39 2:25 3:54 2:24 3:52 2:31 4:03 2:37 4:14 2:41 4:19 2:42 4:21 2:44 4:24 2:52 4:37
